player,team,cap_hit,guaranteed,salary_year
Stephen Curry,GSW,62587158.0,62587158.0,2026-27
Nikola Jokić,DEN,59033114.0,59033114.0,2026-27
Jayson Tatum,BOS,58456566.0,188360046.0,2026-27
Anthony Davis,WAS,58456566.0,58456566.0,2026-27
Giannis Antetokounmpo,MIA,58456566.0,58456566.0,2026-27
Joel Embiid,PHI,58100000.0,120848000.0,2026-27
Jaylen Brown,PHI,57078728.0,183045576.0,2026-27
Devin Booker,PHO,57078728.0,182159872.0,2026-27
Karl-Anthony Towns,NYK,57078728.0,57078728.0,2026-27
Jimmy Butler,GSW,56832773.0,56832773.0,2026-27
Paul George,BOS,54126380.0,54126380.0,2026-27
Kawhi Leonard,LAC,50300000.0,50300000.0,2026-27
Donovan Mitchell,CLE,50105628.0,247460184.0,2026-27
Cade Cunningham,DET,50105628.0,222691680.0,2026-27
Evan Mobley,CLE,50105628.0,222691680.0,2026-27
